day,hour,referrer,isMainConversion,isMicroConversion,spentTime,pageNum,score,visitId
Tuesday,podvecer,NA,false,false,kratkaDoba,malo,110,2036
Friday,podvecer,NA,false,false,stredniDoba,malo,223,3488
Monday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,8823
Wednesday,podvecer,NA,false,false,kratkaDoba,malo,172,7734
Sunday,vecer,Fulltext,false,false,dlouhaDoba,vice,4996,6524
Thursday,poledne,Fulltext,false,false,kratkaDoba,malo,110,7855
Wednesday,odpoledne,NA,false,false,delsiDoba,malo,445,5314
Monday,poledne,NA,false,false,delsiDoba,malo,350,6645
Monday,rano,NA,false,false,stredniDoba,vice,456,4104
Monday,odpoledne,NA,false,false,dlouhaDoba,vice,2259,6766
Thursday,poledne,NA,false,false,stredniDoba,vice,357,5556
Monday,odpoledne,Fulltext,false,false,stredniDoba,vice,497,6887
Monday,odpoledne,NA,false,false,kratkaDoba,malo,110,4346
Thursday,odpoledne,NA,false,false,delsiDoba,vice,763,5677
Tuesday,podvecer,NA,false,false,stredniDoba,hodne,2328,2047
Wednesday,poledne,NA,false,false,dlouhaDoba,vice,1241,2168
Wednesday,poledne,NA,false,false,stredniDoba,hodne,1237,2289
Monday,poledne,Catalogue,false,false,kratkaDoba,malo,110,8713
Monday,odpoledne,Fulltext,false,false,delsiDoba,vice,794,8955
Wednesday,odpoledne,Catalogue,false,false,kratkaDoba,malo,193,5204
Monday,rano,Partners,false,false,kratkaDoba,vice,354,6535
Thursday,podvecer,Fulltext,false,false,dlouhaDoba,hodne,2108,7987
Monday,rano,Fulltext,false,false,dlouhaDoba,vice,1995,4115
Thursday,rano,Catalogue,true,false,stredniDoba,vice,366,5446
Monday,odpoledne,NA,false,false,stredniDoba,vice,384,6777
Monday,poledne,NA,false,false,stredniDoba,malo,295,4236
Thursday,odpoledne,Fulltext,false,false,dlouhaDoba,vice,1434,5688
Wednesday,poledne,Fulltext,false,false,kratkaDoba,jedna,30,9813
Wednesday,odpoledne,Fulltext,false,false,stredniDoba,malo,223,9934
Monday,odpoledne,NA,false,false,kratkaDoba,malo,193,8966
Wednesday,odpoledne,Fulltext,false,false,delsiDoba,vice,945,5215
Monday,rano,Catalogue,false,false,dlouhaDoba,vice,1750,4126
Saturday,poledne,Catalogue,false,false,stredniDoba,vice,687,10918
Wednesday,rano,Catalogue,false,false,kratkaDoba,malo,110,9703
Wednesday,odpoledne,NA,false,false,dlouhaDoba,vice,3695,5226
Thursday,odpoledne,NA,false,false,dlouhaDoba,hodne,5834,7888
Monday,poledne,NA,false,false,dlouhaDoba,malo,2430,4137
Thursday,poledne,Catalogue,false,false,dlouhaDoba,vice,1347,5468
Monday,poledne,NA,false,false,kratkaDoba,malo,110,4258
Thursday,podvecer,Catalogue,false,false,stredniDoba,malo,295,3048
Friday,poledne,Fulltext,false,false,kratkaDoba,malo,110,3169
Friday,odpoledne,Fulltext,false,false,stredniDoba,vice,327,10808
Wednesday,poledne,Catalogue,false,false,dlouhaDoba,vice,2102,9835
Monday,rano,Fulltext,false,false,stredniDoba,malo,223,8625
Monday,poledne,Catalogue,false,false,kratkaDoba,vice,626,8746
Wednesday,poledne,Fulltext,false,false,stredniDoba,malo,223,7536
Sunday,poledne,Catalogue,false,false,delsiDoba,malo,731,6326
Monday,odpoledne,NA,false,false,stredniDoba,malo,283,8988
Wednesday,poledne,NA,false,false,stredniDoba,malo,223,5116
Monday,rano,Fulltext,false,false,delsiDoba,malo,643,6568
Sunday,podvecer,NA,false,false,kratkaDoba,malo,193,4027
Thursday,poledne,Fulltext,false,false,kratkaDoba,malo,110,5479
Tuesday,odpoledne,NA,false,false,delsiDoba,vice,1238,7305
Monday,poledne,NA,false,false,delsiDoba,vice,1326,8757
Sunday,odpoledne,Fulltext,false,false,stredniDoba,malo,295,6337
Wednesday,odpoledne,NA,false,false,dlouhaDoba,hodne,18296,7668
Monday,odpoledne,Fulltext,false,false,stredniDoba,malo,295,8999
Wednesday,poledne,Fulltext,false,false,stredniDoba,vice,456,5127
Thursday,rano,Fulltext,false,false,delsiDoba,vice,783,7789
Wednesday,odpoledne,NA,false,false,dlouhaDoba,vice,2784,5248
Monday,poledne,NA,false,false,delsiDoba,vice,1020,6579
Monday,odpoledne,Fulltext,false,false,stredniDoba,malo,295,11919
Friday,poledne,Catalogue,false,false,stredniDoba,malo,325,10709
Sunday,odpoledne,NA,false,false,delsiDoba,vice,1055,8405
Sunday,podvecer,NA,false,false,kratkaDoba,malo,110,8526
Wednesday,poledne,Partners,false,false,dlouhaDoba,hodne,5056,9857
Tuesday,odpoledne,Fulltext,false,false,stredniDoba,vice,429,7316
Friday,vecer,NA,false,false,stredniDoba,malo,230,6106
Saturday,podvecer,Other,false,false,kratkaDoba,malo,110,6227
Monday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,8889
Tuesday,vecer,Fulltext,false,false,stredniDoba,malo,170,5017
Wednesday,odpoledne,NA,false,false,kratkaDoba,malo,193,7679
Sunday,vecer,Partners,true,false,dlouhaDoba,vice,1237,4049
Tuesday,odpoledne,Fulltext,false,false,dlouhaDoba,hodne,2437,9505
Friday,vecer,NA,false,false,kratkaDoba,malo,110,6117
Wednesday,rano,NA,false,false,delsiDoba,hodne,1799,5028
Sunday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,6359
Wednesday,poledne,Fulltext,true,false,stredniDoba,malo,323,5149
Sunday,odpoledne,NA,false,false,kratkaDoba,malo,110,8427
Wednesday,poledne,Fulltext,false,false,delsiDoba,hodne,1328,9758
Wednesday,poledne,NA,false,false,stredniDoba,vice,575,9879
Friday,odpoledne,Partners,false,false,dlouhaDoba,hodne,6550,6007
Tuesday,podvecer,Fulltext,false,false,kratkaDoba,malo,193,7338
Monday,poledne,NA,true,false,stredniDoba,malo,383,8669
Saturday,podvecer,NA,false,false,stredniDoba,malo,385,6249
Saturday,vecer,Fulltext,false,false,stredniDoba,malo,170,8317
Sunday,vecer,NA,false,false,delsiDoba,malo,546,8559
Tuesday,podvecer,Fulltext,false,false,kratkaDoba,malo,193,7349
Saturday,poledne,NA,false,false,stredniDoba,malo,230,6139
Tuesday,odpoledne,NA,false,false,stredniDoba,vice,792,9538
Tuesday,poledne,NA,true,false,dlouhaDoba,vice,1657,9307
Sunday,rano,Catalogue,false,false,stredniDoba,vice,515,8339
Tuesday,odpoledne,Fulltext,false,false,dlouhaDoba,hodne,2308,9439
Saturday,odpoledne,Catalogue,false,false,delsiDoba,vice,1062,8229
Tuesday,rano,NA,false,false,stredniDoba,malo,223,7019
Tuesday,poledne,Fulltext,false,false,delsiDoba,hodne,1772,9329
Tuesday,odpoledne,OwnWebs,false,false,stredniDoba,malo,223,1970
Thursday,odpoledne,OwnWebs,false,false,kratkaDoba,malo,110,2960
Tuesday,poledne,OwnWebs,false,false,delsiDoba,vice,804,1750
Tuesday,odpoledne,NA,false,false,kratkaDoba,malo,110,1992
Thursday,odpoledne,NA,false,false,kratkaDoba,malo,110,2850
Thursday,odpoledne,Fulltext,false,false,kratkaDoba,malo,193,2971
Thursday,odpoledne,Fulltext,true,false,delsiDoba,vice,1208,2861
Tuesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,193,1893
Sunday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,3961
Monday,podvecer,NA,false,false,kratkaDoba,malo,193,1541
Thursday,odpoledne,NA,false,false,dlouhaDoba,hodne,3012,2872
Thursday,rano,NA,false,false,delsiDoba,malo,350,2641
Monday,odpoledne,NA,false,false,dlouhaDoba,hodne,1812,1431
Monday,podvecer,Fulltext,false,false,stredniDoba,malo,170,1552
Tuesday,poledne,Fulltext,false,false,kratkaDoba,malo,110,1794
Saturday,podvecer,Fulltext,false,false,dlouhaDoba,vice,1496,3741
Monday,rano,Fulltext,true,false,kratkaDoba,malo,263,1200
Sunday,poledne,Fulltext,false,false,kratkaDoba,malo,193,3862
Monday,poledne,Fulltext,false,false,delsiDoba,vice,1077,1321
Sunday,podvecer,NA,true,false,stredniDoba,vice,294,3983
Monday,odpoledne,NA,false,false,kratkaDoba,malo,193,1442
Thursday,odpoledne,Fulltext,false,false,dlouhaDoba,hodne,2351,2894
Tuesday,poledne,NA,false,false,delsiDoba,vice,1059,1684
Tuesday,odpoledne,NA,false,false,stredniDoba,vice,507,4830
Saturday,poledne,NA,false,false,kratkaDoba,malo,235,3620
Saturday,poledne,NA,false,false,kratkaDoba,malo,172,3632
Wednesday,odpoledne,NA,false,false,kratkaDoba,malo,110,2422
Saturday,podvecer,Fulltext,false,false,kratkaDoba,malo,110,3753
Monday,rano,Catalogue,false,false,stredniDoba,malo,295,1212
Wednesday,podvecer,Fulltext,false,false,dlouhaDoba,vice,2095,2543
Thursday,rano,Fulltext,false,false,stredniDoba,vice,516,2664
Tuesday,rano,NA,false,false,stredniDoba,malo,292,4600
Tuesday,poledne,NA,false,false,delsiDoba,vice,896,4721
Monday,odpoledne,Partners,false,false,stredniDoba,vice,366,1465
Thursday,poledne,NA,false,false,kratkaDoba,malo,193,2796
Friday,rano,Fulltext,false,false,stredniDoba,vice,453,5821
Thursday,rano,Fulltext,false,false,kratkaDoba,malo,110,2686
Monday,vecer,NA,false,false,dlouhaDoba,malo,1299,1597
